UID;Titel;"Autor Vorname";"Autor Nachname";"SS Indiziert";"zusätzl. Infos";Listen-Seitennummer;"Edition 1: Verlag";"Edition 1: Ort";"Edition 1: Jahr";"Edition 2: Verlag";"Edition 2: Ort";"Edition 2: Jahr"
book-4e68fef0-35e5-48fa-be48-07118670bc83-de_DE-1;"sämtliche Schriften";Ernst;Weiss;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Zwei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S.159.";20;;;;;;
book-24ca20c7-62b0-42ea-8881-cab9ed98157e-de_DE-1;"sämtliche Schriften";Karel;Weigner;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-2a3c4000-2c1e-497b-a248-d39d22cb90e0-de_DE-1;"sämtliche Schriften";Franz;Warschauer;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-644ec67e-aba8-4fd5-a66e-1beccf37f582-de_DE-1;"sämtliche Schriften";Fritz;Warburg;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-82f061f1-f785-4285-9d5e-f1d2d04001c0-de_DE-1;"sämtliche Schriften";Martin;Wangenheim;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-771413be-22a8-4ab9-9736-f055ea065ee3-de_DE-1;"s. Wissenschaft, Die, im Lichte des Marxismus";Henri;"Wallon [Mitarb.]";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;1937;;;
book-70458bdf-ed54-497c-8f28-01720e2a91e4-de_DE-1;ohne-titel;;"Wallen, B. v. [Pseud.] s. Braun, Julius";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-ca3b73d5-ed77-466f-bd57-7ca187f5ec9d-de_DE-1;"sämtliche Schriften";Franz;Wachter;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-cdd2f0db-fbb7-4cee-a399-5694eefd976a-de_DE-1;"Die Gelehrten. Lustsp.";A.;"Wtorow [Vtorov]";1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;"Deutscher Staatsverlag";Engels;1940;;;
book-35611f4b-010d-44f5-a0e7-e67d91225078-de_DE-1;"Die Wirtschaftsergebnisse der UdSSR. im Jahre 1940 und der Plan für die Entwicklung der Volkswirtschaft";"N. A.";"Wosnessenski (Voznesenskij)";1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;"Verl. f. fremdsprachige Literatur";Moskau;1941;;;
book-3a79a855-74ca-46e9-b11f-4b65dd665298-de_DE-1;"Der Einfaltspinsel";"W. [V.]";"Wolshenin [Volženin]";1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;"Deutscher Staatsverlag";Engels;1940;;;
book-c13c4e95-14d8-406b-9f17-a3a13ead6529-de_DE-1;"sämtliche Schriften";Heinrich;Vogeler;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Vier Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 154.";20;;;;;;
book-f116a671-f425-4993-863b-b1098f7b07dd-de_DE-1;"sämtliche Schriften";Johann;Vogel;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";20;;;;;;
book-edf93a8d-8488-4cff-892d-14a7ee05cdae-de_DE-1;"sämtliche Schriften";Erich;Voegelin;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 154.";20;;;;;;
book-3915eb9d-c5d0-429b-bba5-1e8c19add96a-de_DE-1;"sämtliche Schriften";Walter;Victor;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereit in »Liste des schädlichen und unerwünschten Schrifttums« S. 153.";19;;;;;;
book-83a6b39f-f194-4909-a519-20699e758269-de_DE-1;"Verfassung (Grundgesetz) der Union der sozialistischen Sowjetrepubliken";;;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;"Verl. f. fremdsprachige Literatur";Moskau;1940;;;
book-fb630c5f-ba25-4c4f-8eb4-0061718a9785-de_DE-1;"sämtliche Schriften";Arnold;Vahsen;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-826033c0-89aa-4916-b1f7-c5cb209088af-de_DE-1;"sämtliche Schriften";"Alfred Hermann Friedrich";Vagts;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-b7855391-a038-4e80-a271-dda31cf4cf38-de_DE-1;"sämtliche Schriften";Emil;Utitz;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-58641380-1579-41ba-bf37-eeb30bbb487c-de_DE-1;"sämtliche Schriften";"Grete von";Urbanitzky;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Zwei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 151.";19;;;;;;
book-31a950d7-1dc0-4ec9-8770-98b6714bd525-de_DE-1;"sämtliche Schriften";Hugo;Urbahns;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-8fc8137a-f294-4411-958d-1fec91ed93d6-de_DE-1;"sämtliche Schriften";Wilhelm;Uhde;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 150.";19;;;;;;
book-f5765f62-badb-49e8-aeba-7f81d9a90068-de_DE-1;"Kurzer geschichtlicher Ueberblick über die Entstehung und Entwicklung der MOPR";;;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;"Deutscher Staatsverl.";Engels;1940;;;
book-3e748b27-2396-4aec-9010-fe1735dabdf3-de_DE-1;"Die Lösung der sozialen Frage durch Christus. = Ude: Reden und Schriften.";Johannes;Ude;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;Stocker;"Graz u. Leipzig";1932;;;
book-dbbcbff8-483c-4166-b5d6-2b36e65f65f6-de_DE-1;Weltleidenschaft;Adrien;Turel;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;Oprecht;"Zürich, New York";1940;;;
book-13e78524-c5f7-47ab-aff5-699c22bfb032-de_DE-1;ohne-titel;;"Tschaplina, H. K. [dt. Namensform] s. Čaplina, E. K.";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-cad0d40e-9c7d-4345-bf27-a7cc87ac9fba-de_DE-1;1904-1938;"Valerij Pawlowitsch";Tschkalow;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;"Staatsverl. d. nationalen Minderheiten d. USSR";Kiew;1939;;;
book-f1726992-e772-4b0d-a867-7893d300efb5-de_DE-1;"sämtliche Schriften";Walter;Tritsch;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-e3fce937-98bc-4e86-a174-0bb1f75fb323-de_DE-1;"sämtliche Schriften";"Robert de";Traz;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 149.";19;;;;;;
book-7f8aab08-2558-4b4c-a318-2be1bbc3dbb3-de_DE-1;"Warum sterben viele Menschen zu früh?";Maxim;Trapp;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;Noske;Borna;1939;;;
book-a8825114-28d6-4a53-8d50-9f960fc19edd-de_DE-1;"sämtliche Schriften";Irmgard;Tralow;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-a22f7953-7be4-480f-86f2-bc70a6aca711-de_DE-1;"Die zehn Gebote. Bd 1.";Tihamér;Toth;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;Schöningh;Paderborn;1936;;;
book-f526a783-6bbc-4d29-87ff-3883d02f8222-de_DE-1;"sämtliche Schriften";Hans;Tombrock;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-f100a583-b818-4577-83d3-5f0b368b8c15-de_DE-1;"Das Feldgericht. Drama";N.;Tjurin;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;"Deutscher Staatsverlag";"Engels ";1940;;;
book-6ccce7ea-b22b-4a67-bf1d-aca5c94fdf77-de_DE-1;"sämtliche Schriften";Hans;Tietze;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-a857f68c-9616-4b21-a9f4-c3734723b423-de_DE-1;"sämtliche Schriften";Eduard;Thurneysen;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-7db8c637-eeb1-4e0d-979c-2ab004691ebc-de_DE-1;"Meine Freunde! Erbaut das Gottesreich in euch!";Josef;Thomé;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;Wewel;Krailling;1939;;;
book-e4f912f0-9262-4ae8-af4f-6840177c20ed-de_DE-1;"sämtliche Schriften";"Arthur Otto";Thiele;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-eb9d1de2-74fd-4faa-92a3-fe70e43acaf1-de_DE-1;"sämtliche Schriften";Siegfried;Thalheimer;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-b8802d7f-09d3-434d-8404-89c82b998320-de_DE-1;ohne-titel;;"Thalheimer, Margarete [Mädchenname] s. Neumann, Margarete";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-7f226c5f-ab46-4472-83cd-7a8371c19f38-de_DE-1;"sämtliche Schriften";"Edwin Fritz";Tetzner;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-53809469-f86a-4dfe-9c96-98b3b4beea71-de_DE-1;"sämtliche Schriften";"Fritz Tete Harens";Tetens;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-ea11d5ef-3e0f-49d5-accd-c3493cf5ea66-de_DE-1;"sämtliche Schriften";Karl;Teschitz;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;;;;;;
book-50cda360-7e8a-4a52-a37e-e7001d37cb9a-de_DE-1;"Franz Kafka";Herbert;Tauber;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";19;Oprecht;"Zürich, New York";1941;;;
book-5523905a-f045-410c-8d43-2b92567cada4-de_DE-1;"Die heiligen Drei Könige. = Jugend- u. Gemeindespiele. H. 16.";Paul;Tanner;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;Zwingli-Verl.;Zürich;1940;;;
book-47bbd9e8-9fdb-4f6a-8503-b3fe6eeec613-de_DE-1;"sämtliche Schriften";Erich;Sylvester;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 17.";18;;;;;;
book-515a396e-4bd6-43ec-9bf8-ff71a2c3178d-de_DE-1;"Die Feuerinsel im Nordmeer. Nonnis Fahrt zum Althing";Jón;Svensson;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;Herder;Freiburg;1933;;;
book-da4a6a84-fa45-48b6-9873-ea3b289419cb-de_DE-1;"sämtliche Schriften";Hans;Sutter;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;;;;;;
book-29f02420-9d5f-4998-acda-b21aafdab1f1-de_DE-1;ohne-titel;;"Suenken, Paula [Mädchenname] s. Jacobsen, Paula";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;;;;;;
book-387100c7-8e4c-49f8-8541-d6a66a1a3fd4-de_DE-1;"sämtliche Schriften";Adolf;Sturmthal;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in „Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“ S. 145.";18;;;;;;
book-7856db29-15d4-4059-9615-4e05a211599f-de_DE-1;ohne-titel;;"Stunz, Hanna [Mädchenname] s. Schmidt, Hanna";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;;;;;;
book-c1d78357-d99f-40d5-909d-928e2ab655a3-de_DE-1;"sämtliche Schriften";Carola;Struve;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 175.";18;;;;;;
book-3dec1b83-4e27-4f2d-8224-1135a00b0ac7-de_DE-1;"Neudeutschlands Kinder";Gerdy;Strieber;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;Trenkler;Leipzig;"vor 1939";;;
book-0b9fbacc-ce3a-4778-a241-80a5e8916a3b-de_DE-1;"Von Päpsten, Künstlern und Landsknechten";Hugo;Strauch;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;"J. P. Bachem";Köln;1925;;;
book-8efa34c2-21f0-4944-b46f-10a9f2c51d28-de_DE-1;"Der Pfarrer von Heiligenberg. = Strachwitz: Kaplan von Heiligenberg. Bd 2.";"Hubertus Kraft Graf";Strachwitz;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;Auer;" Donauwörth";1925;;;
book-6efeb02b-a0f7-4e7f-841b-79522295f08a-de_DE-1;"Der Kaplan von Heiligenberg. Roman, [1.] 2. ";"Hubertus Kraft Graf";Strachwitz;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;Auer;Donauwörth;1923-1925;;;
book-3f0e6eda-f59b-48b9-9a55-a402d4d5f07f-de_DE-1;"Die Schweiz im Weltgewitter";Willy;Stokar;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;Volksverl.;Elgg;1940;;;
book-aed29b31-6faa-4550-8fe9-24f3d225351f-de_DE-1;"sämtliche Schriften";Helene;Stoecker;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Vier Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 144.";18;;;;;;
book-e6a2538d-ae50-40a1-a297-ba04d9578a8e-de_DE-1;"sämtliche Schriften";Erich;Stern;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;;;;;;
book-9ed6d786-23c7-4dc3-a17d-c8b5cae987a9-de_DE-1;"sämtliche Schriften";"Hans Gustav";Steinthal;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;;;;;;
book-ae07ed2d-5bce-46f7-9f1a-633bf9173d1d-de_DE-1;"sämtliche Schriften";Hermann;Steinmeyer;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;;;;;;
book-aa9f573a-2cfe-455f-9ffb-53e3aa924a1d-de_DE-1;"sämtliche Schriften";Hermann;Steinhausen;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 143, eine zweite in »Jahresliste 1939« S. 10, eine dritte in »Jahresliste 1940« S. 17.";18;;;;;;
book-ea3c98ba-fe3b-4f40-9dfb-0c6fb8d0fd31-de_DE-1;"sämtliche Schriften";Eugen;Steinemann;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Zwei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 142, eine dritte in »Jahresliste 1940« S. 17.";18;;;;;;
book-f5aa9d41-a725-4bb5-b0e7-19b244e47166-de_DE-1;"sämtliche Schriften";"Salomon David";Steinberg;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 142.";18;;;;;;
book-28685ef3-2310-4726-9d22-31d0b03d1dc2-de_DE-1;"sämtliche Schriften";Kurt;Stechert;1;"
„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 141.";18;;;;;;
book-dff8dd07-655f-482e-b955-20f5b171e771-de_DE-1;"sämtliche Schriften";"Ludwig gen. Vigo";Stautz;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;;;;;;
book-ca624b6d-da4b-4207-bfab-57cd73f55e6f-de_DE-1;"Kirchengeschichte nach Jahrhunderten";Georg;Staffelbach;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;Stocker;Luzern;1939;;;
book-2e2a298c-72a5-4988-80ef-baedb879f4ca-de_DE-1;"Im Namen Gottes des Allmächtigen = Im Dienst unserer Heimat. H. 2.";Ernst;Staehelin;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;Zwingli-Verl.;Zürich;1940;;;
book-dd79bfd3-6ad2-426f-a371-5eafb7eec00a-de_DE-1;"sämtliche Schriften";Jacob;Sprey;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;;;;;;
book-2d7cacee-9cec-468a-8476-e12d9d32fbbe-de_DE-1;"Dem größten König eigen";Gottlob;Spoerri;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";18;"Zwingli-Verl. = Zwingli-Bücherei. 13.";Zürich;1940;;;
book-9a84bf4c-41b0-4b82-bb62-ae695faa4215-de_DE-1;"sämtliche Schriften";Hans;Spahn;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 140.";17;;;;;;
